date,y1,y2,y5,y10,y1SE,y2SE,y5SE,y10SE
2014-01-16,-0.019375385441946707,0.0172542933489431,-0.058685435983373876,-0.14544958257606397,0.03408768390733528,0.06524922685429634,0.14968212722844396,0.2231497437513789
2014-02-20,-0.033082810585155754,0.012469106752136257,-0.07581849203790934,-0.16498779882414036,0.03513354054559298,0.06666625341763835,0.15614509968732532,0.22780075627061014
2014-03-18,-0.034392196515413254,0.023296977410049706,-0.05420422582939186,-0.16218258560624085,0.040103277333137774,0.0770558444528078,0.17741150481858486,0.2686263737327568
2014-04-15,-0.01476518571574829,0.05245680454045737,-0.017894032378941514,-0.14821115972230003,0.037992894760863136,0.07168351239522207,0.16209533578505442,0.2509019824482318
2014-05-15,-0.021185044618674667,0.04220166235804916,-0.039677285669848926,-0.17645352899280586,0.0371232958315991,0.07108098881601783,0.15908428197662228,0.2486270207626388
2014-06-17,-0.019366769883416974,0.05020625173094768,-0.014250162387143507,-0.15293154079472593,0.036602712934583656,0.07143741896416174,0.15880188942616055,0.24938344658794634
2014-07-22,-0.020499358904645434,0.06176225732894295,0.004030416313311356,-0.1355956864554963,0.03581799680567156,0.06751408504952511,0.1494318067391267,0.23315306290817098
2014-08-19,-0.023728938626396502,0.05534515371709407,0.01844033601591475,-0.1143091586774633,0.035698042764962745,0.06895573406161379,0.1453569885200911,0.22632709942769846
2014-09-17,-0.006428802785982311,0.044629483165051644,0.04166964603119597,-0.022170195286760248,0.035367012336622275,0.07480581097396585,0.13280517084036195,0.1793905471107074
2014-10-22,0.0018790884351455625,0.0564639315879493,0.0357186320926043,-0.03795199716276354,0.03475525876553598,0.07508500136233733,0.1333818991768004,0.17937712920512644
2014-11-20,0.001231727252728112,0.055220681522194705,0.028193916567674327,-0.04475425677968261,0.03457667064411479,0.07494782902350992,0.13365237572848288,0.17907964885424496
2014-12-17,-0.005581195988631636,0.0373057668328539,0.014125290617158604,-0.06440970545295166,0.033971144603360516,0.07944372246929274,0.1405230160335442,0.18937990701132018
