date,gamma,gamma_lb,gamma_ub,beta,beta_lb,beta_ub
1985-01-01,0.18356369400787126,0.003089683905508317,0.3640377041102342,0.779738983982466,0.45172549271814977,1.1077524752467822
1985-02-01,0.3320269884579283,0.16375145152773612,0.5003025253881204,0.7706151914496767,0.3524748678177884,1.188755515081565
1985-03-01,0.39184940872206747,0.19909863278310905,0.5846001846610259,0.77948083612807,0.36591079453328695,1.193050877722853
1985-04-01,0.34699929014853054,0.24523925319454154,0.44875932710251953,0.7754520844022015,0.5149560722316797,1.0359480965727232
1985-05-01,0.3799131202102545,0.23880432561427517,0.5210219148062338,0.6699699478779793,0.432852136869091,0.9070877588868675
1985-06-01,0.32663600499826617,0.20291072475352318,0.45036128524300917,0.9929165560692277,0.6737410808545554,1.3120920312839
1985-07-01,0.38563470292902863,0.26372798851775753,0.5075414173402997,0.8208099656882157,0.5464559106427107,1.0951640207337208
1985-08-01,0.3180057647807914,0.20271934481091697,0.43329218475066583,0.7789071709958767,0.5011172976037854,1.056697044387968
1985-09-01,0.3275732481966521,0.2206802154825087,0.43446628091079553,0.4956830076699411,0.33871492122853797,0.6526510941113443
1985-10-01,0.23943788309256953,0.09730813134338825,0.3815676348417508,0.46654668550145156,0.23583551739791636,0.6972578536049867
1985-11-01,0.3196837242667678,0.2204946525249204,0.41887279600861516,0.33463221295752754,0.1899316717507872,0.4793327541642679
1985-12-01,0.2920943835665664,0.19018149654385752,0.3940072705892753,0.4308388535474438,0.317782544699334,0.5438951623955536
1986-01-01,0.20963921133423286,0.10646631801292056,0.31281210465554515,0.40346947664013216,0.2690183237136251,0.5379206295666392
1986-02-01,0.2857062036757551,0.16828826195559562,0.40312414539591457,0.43400943384597446,0.2701871657869659,0.597831701904983
1986-03-01,0.2124269047546748,0.11940810700354587,0.3054457025058037,0.3997105557917674,0.1909435548614838,0.6084775567220511
1986-04-01,0.14107002035546434,0.013028619217774373,0.2691114214931543,0.05777753460934054,-0.10346913210625783,0.2190242013249389
1986-05-01,0.09891417331108023,-0.0016990840907139815,0.19952743071287443,0.1299201253278464,0.018226892382332424,0.24161335827336033
1986-06-01,0.034418414723974375,-0.08421485675779401,0.15305168620574278,0.235965790786663,0.09240222887828306,0.37952935269504295
1986-07-01,0.11736244192251011,-0.034693812998838836,0.26941869684385905,0.08976045367500092,-0.07730845741919372,0.25682936476919555
1986-08-01,0.09125318924904734,-0.05183746462573592,0.2343438431238306,0.1271125828999721,-0.03349107607215171,0.2877162418720959
1986-09-01,0.1454647380013093,0.02717456458079197,0.2637549114218266,0.04808281995002141,-0.06835466026858891,0.16452030016863173
1986-10-01,0.13223138603492518,-0.14927475178084043,0.4137375238506908,0.22339992885547566,0.002811995839110598,0.4439878618718407
1986-11-01,0.4585122128414737,0.332882784872652,0.5841416408102954,-0.05606675644869306,-0.15654642390178097,0.044412911004394866
1986-12-01,0.2479348927673859,-0.023664347500878147,0.51953413303565,0.0828704604147675,-0.13357252211743123,0.29931344294696627
1987-01-01,0.05945026808165709,-0.18856788615281933,0.3074684223161335,0.356569786583738,0.025148060854172094,0.6879915123133039
1987-02-01,0.09881860103869314,-0.2078519055001122,0.40548910757749845,0.24478817664871777,-0.15359744928840863,0.6431738025858442
1987-03-01,0.17119672589056512,-0.06062340119487902,0.40301685297600925,0.19913173440543488,-0.14851478294431333,0.5467782517551831
1987-04-01,0.17320656443864832,0.033606231387081464,0.3128068974902152,0.39915011457803856,0.12242203027266313,0.6758781988834139
1987-05-01,0.18472238360158338,0.10101019768532143,0.26843456951784533,0.3184252989819502,0.18370412336576156,0.45314647459813884
1987-06-01,0.10559842393947329,-0.08233364584150009,0.29353049372044665,0.4265344472975374,0.11113570339914758,0.7419331911959273
1987-07-01,0.14233571317165536,0.04727425471009007,0.23739717163322066,0.4665601824182703,0.21107208693076002,0.7220482779057806
1987-08-01,0.22176629125868,0.1293596622982793,0.3141729202190807,0.404313904236229,0.27418363106036225,0.5344441774120957
1987-09-01,0.2244140360906606,0.12973659521956613,0.3190914769617551,0.461954268890111,0.30574684987538975,0.6181616879048322
1987-10-01,0.2063043677395988,0.08787057250849901,0.3247381629706986,0.5352879386832649,0.34095002291763254,0.7296258544488972
1987-11-01,0.04326420813531887,-0.13445473837140404,0.22098315464204177,0.7118227491679666,0.414071959061109,1.0095735392748242
1987-12-01,0.07550974757405066,-0.0765768082482621,0.22759630339636341,0.8598297184636605,0.4978348012751867,1.2218246356521343
1988-01-01,0.08170574374677843,-0.05395561607532996,0.21736710356888683,0.6802773894555767,0.5180731568878754,0.842481622023278
1988-02-01,0.096804712002575,-0.020651038130636692,0.2142604621357867,0.6820371657735153,0.5347579464916333,0.8293163850553972
1988-03-01,0.18547191688884798,0.08233988048657895,0.288603953291117,0.7367584422313569,0.5859515600538665,0.8875653244088473
1988-04-01,0.21777965956638656,0.07674522131482583,0.35881409781794726,0.48502430986925654,0.19345650327786962,0.7765921164606435
1988-05-01,0.24946078855954854,0.10838491590101157,0.3905366612180855,0.7287964708930375,0.5134677570670434,0.9441251847190315
1988-06-01,0.26297800650668585,0.08537388980672303,0.4405821232066487,0.5883314125895365,0.38950901772651625,0.7871538074525567
1988-07-01,0.3038616231453168,0.08207369623556204,0.5256495500550715,0.5250742471461413,0.341422753408812,0.7087257408834705
1988-08-01,0.319111215517935,0.1337056839627499,0.50451674707312,0.5243846878389863,0.36653105264491515,0.6822383230330574
1988-09-01,0.3988886803668066,0.27049391064436584,0.5272834500892474,0.6677620212549797,0.5691433102816716,0.7663807322282878
1988-10-01,0.3908924388272418,0.29450684083487805,0.4872780368196055,0.5083992523063238,0.32656036371304376,0.6902381408996038
1988-11-01,0.35320000566045073,0.24791804485320063,0.45848196646770084,0.49925348907284484,0.3646699811695473,0.6338369969761424
1988-12-01,0.38835276992019174,0.3053250993231872,0.4713804405171963,0.5639628101697581,0.45696482519895365,0.6709607951405626
1989-01-01,0.4950115007784509,0.3667716431774224,0.6232513583794794,0.45641686806192966,0.21354254457663285,0.6992911915472264
1989-02-01,0.5823652351351949,0.4542553497308133,0.7104751205395765,0.5843921390042307,0.3189121992472287,0.8498720787612327
1989-03-01,0.510526950258782,0.322295259274145,0.698758641243419,0.6607868156935399,0.4208132866550667,0.9007603447320132
1989-04-01,0.7565487366179595,0.666137082140372,0.846960391095547,0.7626132907484849,0.39352451111257714,1.1317020703843927
1989-05-01,0.6739373296433582,0.5547458233621334,0.7931288359245829,0.9055992066641836,0.5927142558523482,1.218484157476019
1989-06-01,0.6043255302063517,0.5002930220037888,0.7083580384089146,0.6600912187607245,0.4333666293694097,0.8868158081520394
1989-07-01,0.5300909898040292,0.38917258271826677,0.6710093968897917,0.5083757212341381,0.2808232829315426,0.7359281595367336
1989-08-01,0.3976350352189404,0.21843654043523897,0.5768335300026418,0.6198009429776457,0.36372820592959276,0.8758736800256985
1989-09-01,0.4711144682531555,0.3080665270545666,0.6341624094517444,0.6315974291943854,0.42093996283151003,0.8422548955572609
1989-10-01,0.28060118387894917,0.1595612085200428,0.40164115923785554,0.51918713084173,0.2636359216176537,0.7747383400658062
1989-11-01,0.33531621710458065,0.188020896170898,0.4826115380382633,0.46476048826753247,0.26728481578129537,0.6622361607537696
1989-12-01,0.392944944466142,0.21650539921428197,0.569384489718002,0.4967432393004605,0.24560920898413285,0.7478772696167881
1990-01-01,0.2444728836970876,0.11787100950325541,0.3710747578909198,0.5252354620402166,0.25208915208286486,0.7983817719975684
1990-02-01,0.44585145781391944,0.3274374851004088,0.5642654305274301,0.4032256300983096,0.20151292926991693,0.6049383309267022
1990-03-01,0.3678743808608519,0.2923927171971267,0.4433560445245771,0.3418007096495554,0.23559148915713446,0.4480099301419763
1990-04-01,0.08544015730090226,-0.08758169210711234,0.25846200670891684,0.2584653444635889,0.11320347190297628,0.40372721702420145
1990-05-01,0.12853216734546438,-0.0989579153250596,0.35602225001598836,0.27645413457968954,0.1396821650310579,0.41322610412832117
1990-06-01,0.3108778805703914,0.08198391680824396,0.5397718443325388,0.20067385519216777,0.09263609421698343,0.3087116161673521
1990-07-01,0.27265489478597316,0.1542444651349723,0.391065324436974,0.20602923465120257,0.0871528834718184,0.3249055858305867
1990-08-01,0.12493315401167138,0.008968210784544087,0.24089809723879868,0.2413102381775504,0.13599846133988525,0.34662201501521556
1990-09-01,0.3318412532013143,0.2532215584364263,0.4104609479662023,0.13225361472119535,0.00522354616557999,0.25928368327681073
1990-10-01,0.30270779492466454,0.2272840800353064,0.37813150981402266,0.09351020203632777,0.050564522559301495,0.13645588151335405
1990-11-01,0.3047654990405976,0.26143715048041727,0.3480938476007779,0.11167752969413361,0.06590982431429537,0.15744523507397185
1990-12-01,0.24778598253646977,0.17703885625742732,0.3185331088155122,0.11995047694442636,0.03863563547425422,0.2012653184145985
1991-01-01,0.35884467320324087,0.27692011348144024,0.4407692329250415,0.06440802588544994,0.019418004690899326,0.10939804708000056
1991-02-01,0.3851351121121187,0.2935217146066342,0.47674850961760323,0.07851205657679755,0.03135414772443182,0.12566996542916328
1991-03-01,0.3325882848214368,0.1966360387828369,0.4685405308600368,0.04243144959390544,-0.03163666755378337,0.11649956674159426
1991-04-01,0.3995172038436662,0.3047164363387337,0.4943179713485987,0.11451583838382748,0.03603559418661639,0.19299608258103856
1991-05-01,0.17491375780974047,0.03393074599762308,0.31589676962185786,0.013858014578420735,-0.09766257170276185,0.1253786008596033
1991-06-01,0.3598237448209603,0.26902168418067357,0.45062580546124703,0.07350183094179098,0.031379722508379025,0.11562393937520293
1991-07-01,0.3385610117311262,0.27143691073702203,0.40568511272523033,0.19791960923476698,0.10416283710601817,0.2916763813635158
1991-08-01,0.3202875690844524,0.2609839615045144,0.37959117666439035,0.1936260397948958,0.04508851378521264,0.34216356580457896
1991-09-01,0.2442443221317435,0.14858675953069733,0.33990188473278965,0.3217396636298837,0.1882593081319585,0.4552200191278089
1991-10-01,0.25572158069777995,0.1630751272509816,0.3483680341445783,0.2887332605637869,0.07489674121358308,0.5025697799139908
1991-11-01,0.30506534721127837,0.17053340142895118,0.43959729299360556,0.09801918038433707,-0.12036829856234879,0.31640665933102297
1991-12-01,0.3203483281046874,0.1935705276775085,0.4471261285318663,-0.06285393608205975,-0.37734476497376024,0.25163689280964074
1992-01-01,0.5881271564730494,0.4609631685382942,0.7152911444078045,0.1961079797319784,0.016395782820610827,0.375820176643346
1992-02-01,0.5205796533768776,0.42123584332986985,0.6199234634238854,0.3097989666975941,0.10874672456334591,0.5108512088318423
1992-03-01,0.4678519506216201,0.3633431171551916,0.5723607840880486,0.16518445067044463,0.005915825894268617,0.3244530754466206
1992-04-01,0.5818581334947538,0.5132112164294991,0.6505050505600085,0.20452102992295418,-0.028000384070067053,0.4370424439159754
