date,rho,rho_se,gamma,gamma_se,gamma_lb,gamma_ub,beta,beta_se,beta_lb,beta_ub
1985-01-01,0.8181550553547843,0.06755417012695568,0.33962308289878834,0.07946368910020395,0.20850799588345184,0.47073816991412487,-0.24373820875862873,0.11492260900837158,-0.4333605136224418,-0.05411590389481563
1985-02-01,0.7268764991014979,0.08203494922982595,0.4155439755491492,0.08710029349858177,0.2718284912764893,0.559259459821809,-0.17005250930177632,0.12041012551345971,-0.3687292163989848,0.02862419779543221
1985-03-01,0.5872193058928475,0.09806833213362708,0.46119729485542676,0.07593459377333729,0.33590521512942023,0.5864893745814332,-0.03493850590911696,0.15977892941720248,-0.29857373944750104,0.22869672762926713
1985-04-01,0.4457197255979885,0.13289068371001367,0.32962069109764575,0.03862254815875523,0.2658934866356996,0.3933478955595919,0.38379300550007955,0.1977835811229274,0.05745009664724937,0.7101359143529098
1985-05-01,0.6169557938127876,0.0916305165884197,0.24248912597441535,0.0689444301835598,0.1287308161715417,0.356247435777289,0.22369730507585694,0.154130532369114,-0.030618073333181173,0.47801268348489506
1985-06-01,0.45454255425085804,0.09486936976920513,0.26051565194220894,0.07931803347770697,0.12964089670399245,0.3913904071804254,0.7182717859642801,0.156284456695413,0.4604024324168487,0.9761411395117114
1985-07-01,0.4143539789368686,0.1324939916937704,0.31319254765349663,0.05901510264829874,0.21581762828380371,0.4105674670231896,0.5097176814898379,0.17622269328189988,0.2189502375747031,0.8004851254049726
1985-08-01,0.5567541231317137,0.0914923073428901,0.2522898017782311,0.04340111364832585,0.18067796425849347,0.3239016392979688,0.4002329991277589,0.1377098800728819,0.17301169700750377,0.627454301248014
1985-09-01,0.5300161756167698,0.11913729192753711,0.26075361105544437,0.0507264565509946,0.17705495774630328,0.3444522643645854,0.2326382259264692,0.07707447548006184,0.10546534138436717,0.3598111104685713
1985-10-01,0.6252930170291844,0.09170547311484323,0.16125830940998148,0.04542669809518953,0.08630425755291876,0.2362123612670442,0.11814320004602578,0.11732611024566292,-0.07544488185931801,0.31173128195136957
1985-11-01,0.665395391836555,0.10788608377602836,0.19566215092764125,0.042793347412951176,0.1250531276962718,0.2662711741590107,0.06030315947163697,0.0912002966848703,-0.09017733005839901,0.21078364900167296
1985-12-01,0.782683784306674,0.1260378139941491,0.13792640186128502,0.037365884273818734,0.07627269280948412,0.19958011091308592,0.20243056018480385,0.06636865404956997,0.0929222810030134,0.3119388393665943
1986-01-01,0.3681371173398194,0.07653046765832333,0.15197764277946585,0.04914365539226959,0.07089061138222102,0.23306467417671067,0.2753112221919431,0.1102352832746338,0.09342300478879734,0.45719943959508885
1986-02-01,0.42710042173870133,0.07593659217681054,0.21222378281117937,0.0679707681850147,0.10007201530590512,0.3243755503164536,0.25783864962344005,0.1097394918310799,0.07676848810215825,0.43890881114472186
1986-03-01,0.5476012685511548,0.06319988404506163,0.14487805986640215,0.035925522697877056,0.08560094741490501,0.20415517231789929,0.23395914116301217,0.08879912529816736,0.08744058442103603,0.3804776979049883
1986-04-01,0.5382885888797777,0.10732201280570561,0.18414016010232845,0.0668245723295997,0.07387961575848896,0.29440070444616795,-0.0059959423629438405,0.07215602965081226,-0.12505339128678405,0.11306150656089638
1986-05-01,0.39620929521452786,0.09160073738203936,0.182350319653133,0.05780497424921255,0.0869721121419323,0.2777285271643337,0.06268732698753773,0.05856822410611603,-0.03395024278755371,0.15932489676262918
1986-06-01,0.4294158578971915,0.11189155465125412,0.15102937007065328,0.05191781875331762,0.06536496912767921,0.23669377101362737,0.13196531733710934,0.09063317423354147,-0.017579420148234076,0.2815100548224527
1986-07-01,0.7762108303043591,0.057149009655071664,0.11395426371022366,0.04608513184883043,0.03791379615965346,0.18999473126079386,-0.00813121006883363,0.03363173929761547,-0.06362357990989914,0.04736115977223189
1986-08-01,0.7002742861016298,0.060328277578205206,0.19085294767797434,0.05785589835089931,0.09539071539899048,0.2863151799569582,0.04542808808452051,0.0485053927605475,-0.03460580997038287,0.1254619861394239
1986-09-01,0.48488404035978816,0.056582929458218655,0.22557737568249608,0.04372003217539262,0.15343932259309825,0.29771542877189394,0.05285122762396143,0.037326513025125546,-0.008737518867495714,0.11443997411541858
1986-10-01,0.3196207817463433,0.13427836243059488,0.07842624682953296,0.07492434691067049,-0.04519892557307334,0.20205141923213926,0.21234188365607268,0.09158650334755393,0.061224153132608705,0.36345961417953665
1986-11-01,0.5823795119324316,0.10073747156576016,0.2178842110514997,0.07089977010680991,0.10089959037526335,0.334868831727736,0.07890589876268245,0.03519374813901348,0.02083621433331021,0.1369755831920547
1986-12-01,0.40252853055181387,0.1244302231904681,0.16097885435216766,0.029556803987144886,0.1122101277733786,0.20974758093095672,0.11767447587811439,0.04287121160264083,0.04693697673375702,0.18841197502247176
